日期,通知人,标题,链接
2024/12/25,【教材中心】,关于开展本科教材工作自查的通知,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13819
2024/12/25,【教学运行】,关于2024-2025学年第一学期《工程制图C（上）》、《工程制图D》和《工程制图F》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13815.htm
2024/12/25,【教学运行】,关于2024-2025学年第一学期《大学英语（二）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13814.htm
2024/12/25,【教学运行】,关于2024-2025学年第一学期《大学英语（一）》和《大学英语（三）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13813.htm
2024/12/25,【教学运行】,关于2025年元旦放假课程调整的通知,https://jwch.fzu.edu.cn/info/1036/13812.htm
2024/12/24,【质量办】,关于举办福州大学第六十三场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/info/1040/13810.htm
2024/12/24,【实践科】,关于公布2024年福州大学大学生工程实践与创新能力大赛获奖名单的通知,https://jwch.fzu.edu.cn/info/1039/13808.htm
2024/12/24,【教学运行】,关于2024-2025学年第一学期《思想道德与法治》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13806.htm
2024/12/24,【教学运行】,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13805.htm
2024/12/23,【教学运行】,关于2024-2025学年第二学期本科生学期选课的通知,https://jwch.fzu.edu.cn/info/1036/13804.htm
2024/12/18,【质量办】,关于制定学院本科教学督导工作管理实施办法的通知,https://jwch.fzu.edu.cn/info/1040/13801.htm
2024/12/18,【质量办】,关于上报学院本科教育教学质量保障2024年工作总结和2025年工作计划的通知,https://jwch.fzu.edu.cn/info/1040/13797.htm
2024/12/17,【教学运行】,关于2024-2025学年第一学期《中国近现代史纲要》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13796.htm
2024/12/17,【教学运行】,关于2024-2025学年第一学期《大学英语（四）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13795.htm
2024/12/13,【教学运行】,关于2024-2025学年第一学期计算机语言类课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13792.htm
2024/12/12,【实践科】,关于做好2025届本科生毕业设计（论文）工作的通知,https://jwch.fzu.edu.cn/info/1039/13791.htm
2024/12/12,【综合科】,关于评选2024年优秀教学管理人员的通知,https://jwch.fzu.edu.cn/info/1035/13790.htm
2024/12/9,【实践科】,关于做好2024年省级以上大学生创新训练计划项目和第三十期本科生科研训练计划项目中期检查工作的通知,https://jwch.fzu.edu.cn/info/1039/13784.htm
2024/12/5,【质量办】,关于举办福州大学第六十二场“教学有道”,研讨活动的通知
2024/12/4,【教学运行】,关于2024-2025学年第一学期《概率论与数理统计》课程期末考试安排的通知,https://jwch.fzu.edu.cn/info/1036/13780.htm
2024/12/3,【教学运行】,关于2024-2025学年第一学期《马克思主义基本原理》和《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13779.htm
2024/12/2,【实践科】,关于举办第十五届全国大学生电子商务“三创赛”福州大学校赛的通知,https://jwch.fzu.edu.cn/../info/1039/13778.htm
2024/12/2,【计划科】,关于2024-2025学年第二学期修读辅修专业学生名单的公示,https://jwch.fzu.edu.cn/../info/1038/13777.htm
2024/11/29,【实践科】,关于组织参加2025年美国大学生数学建模竞赛（MCM/ICM）通知,https://jwch.fzu.edu.cn/../info/1039/13773.htm
2024/11/28,【实践科】,关于组织申报2024年高校双碳实践育人案例的通知,https://jwch.fzu.edu.cn/../info/1039/13772.htm
2024/11/26,【质量办】,关于举办福州大学第六十一场“教学有道”,研讨活动的通知
2024/11/25,【质量办】,关于举办福州大学第六十场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/../info/1040/13768.htm
2024/11/22,【教学运行】,关于2024-2025学年第一学期《工程制图E》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13766.htm
2024/11/22,【教学运行】,关于2024-2025学年第一学期《高等数学A（下）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13765.htm
2024/11/21,【教材中心】,关于开展2024年本科数字教材建设立项工作的通知,https://jwch.fzu.edu.cn/../info/1042/13763.htm
2024/11/19,【实践科】,关于公布第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛获省赛参赛资格名单的通知,https://jwch.fzu.edu.cn/../info/1039/13761.htm
2024/11/15,【教材中心】,关于做好2024-2025学年第二学期教材选用与征订工作的通知,https://jwch.fzu.edu.cn/../info/1042/13760.htm
2024/11/15,【综合科】,关于2024-2025学年第一学期再次开放本科生学生证补办及火车票优惠区间更改的通知,https://jwch.fzu.edu.cn/../info/1035/13759.htm
2024/11/14,【质量办】,关于举办福州大学第五十九场“教学有道”,研讨活动的通知
2024/11/13,【实践科】,关于公布2024年福州大学第十八届本科生数学建模竞赛获奖名单的通知,https://jwch.fzu.edu.cn/../info/1039/13754.htm
2024/11/12,【教学运行】,关于2024-2025学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13752.htm
2024/11/11,【计划科】,关于组织申报2024-2025学年第二学期通识教育选修课的通知,https://jwch.fzu.edu.cn/../info/1038/13750.htm
2024/11/11,【教材中心】,关于举办福州大学第五十八场“教学有道”研讨活动暨数字教材建设专题研讨会的通知,https://jwch.fzu.edu.cn/../info/1042/13749.htm
2024/11/8,【教学运行】,关于公布2024学年各学院转专业实施细则的通知,https://jwch.fzu.edu.cn/../info/1036/13748.htm
2024/11/7,【教学运行】,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程半期考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13746.htm
2024/11/5,【教研教改】,关于开展2024年度教育部产学合作协同育人项目结题验收工作的通知,https://jwch.fzu.edu.cn/../info/1037/13743.htm
2024/11/1,【计划科】,关于2024-2025学年第一学期在校学生申请辅修专业的通知,https://jwch.fzu.edu.cn/../info/1038/13741.htm
2024/10/29,【教学运行】,关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13739.htm
2024/10/28,【质量办】,关于期中党政领导集中听课的通知,https://jwch.fzu.edu.cn/../info/1040/13738.htm
2024/10/23,【教学运行】,关于做好2024学年本科生转专业工作的通知,https://jwch.fzu.edu.cn/../info/1036/13733.htm
2024/10/21,【教材中心】,关于进一步加强马克思主义理论研究和建设工程重点教材选用工作的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13729
2024/10/21,【质量办】,关于举办2024年教师教学创新大赛培训会暨第五十七场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/../info/1040/13728.htm
2024/10/21,【教学运行】,关于做好2025届预计毕业生电子注册图像采集工作的通知,https://jwch.fzu.edu.cn/../info/1036/13727.htm
2024/10/18,【教学运行】,关于2024-2025学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13725.htm
2024/10/16,【质量办】,关于2024年新上岗教师教学达标培训班教师配备导师的通知,https://jwch.fzu.edu.cn/../info/1040/13723.htm
2024/10/15,【质量办】,诚邀2019届毕业生参与培养目标达成和职业发展问卷调研,https://jwch.fzu.edu.cn/../info/1040/13721.htm
2024/10/15,【实践科】,关于举办第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛的通知,https://jwch.fzu.edu.cn/../info/1039/13720.htm
2024/10/15,【质量办】,关于举办福州大学第五十六场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/../info/1040/13719.htm
2024/10/14,【计划科】,关于全校性通识教育选修课《爱课程：管理沟通》学习的重要提示,https://jwch.fzu.edu.cn/../info/1038/13717.htm
2024/10/12,【教学运行】,关于2024-2025学年第一学期《概率论与数理统计》课程半期考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13716.htm
2024/10/11,【教学运行】,关于填报课程学生出勤率信息的通知,https://jwch.fzu.edu.cn/../info/1036/13715.htm
2024/9/30,【教学运行】,关于2024-2025学年第一学期《高等数学A（下）》课程半期考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13705.htm
2024/9/29,【实践科】,关于2024年高校教学基本状态数据库教学相关数据报送的通知,https://jwch.fzu.edu.cn/../info/1039/13704.htm
2024/9/29,【质量办】,关于开展福州大学2024年教师教学创新大赛的通知,https://jwch.fzu.edu.cn/../info/1040/13703.htm
2024/9/27,【教学运行】,关于组织2024级新生开展学籍信息自查工作的通知,https://jwch.fzu.edu.cn/../info/1036/13701.htm
2024/9/27,【实践科】,关于举办2024年福州大学大学生工程实践与创新能力大赛暨2024年福建省大学生工程实践与创新能力大赛福州大学分区赛的通知,https://jwch.fzu.edu.cn/../info/1039/13700.htm
2024/9/25,【教材中心】,关于举办福州大学第五十五场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/../info/1042/13697.htm
2024/9/24,【教学运行】,关于2024年国庆节放假课程调整的通知,https://jwch.fzu.edu.cn/../info/1036/13696.htm
2024/9/23,【计划科】,关于通识教育选修课《国际化拔尖创新人才科研训练》宣讲会及选课的通知,https://jwch.fzu.edu.cn/../info/1038/13695.htm
2024/9/23,【计划科】,关于组织2024级学生参加《大学生国家安全教育》课程学习的通知,https://jwch.fzu.edu.cn/../info/1038/13693.htm
2024/9/23,【计划科】,关于公布《大学生国家安全教育》课程实施方案的通知,https://jwch.fzu.edu.cn/../info/1038/13692.htm
2024/9/20,【质量办】,关于开展思政课教学专项检查的通知,https://jwch.fzu.edu.cn/../info/1040/13689.htm
2024/9/20,【教学运行】,关于2024-2025学年第一学期2024级体育理论教室安排的通知,https://jwch.fzu.edu.cn/../info/1036/13688.htm
2024/9/20,【质量办】,福州大学关于成立思政课教学指导组的通知,https://jwch.fzu.edu.cn/../info/1040/13687.htm
2024/9/19,【教学运行】,关于做好2024-2025学年第二学期排课准备工作的通知,https://jwch.fzu.edu.cn/../info/1036/13686.htm
2024/9/14,【质量办】,关于举办福州大学第五十四场“教学有道”研讨活动的通知,https://jwch.fzu.edu.cn/../info/1040/13683.htm
2024/9/14,【质量办】,关于每学期开展常态化课程考核教学档案检查的通知,https://jwch.fzu.edu.cn/../info/1040/13682.htm
2024/9/13,【计划科】,关于2024-2025学年第一学期爱课程平台参加通识教育选修课学习的重要提示,https://jwch.fzu.edu.cn/../info/1038/13681.htm
2024/9/13,【教材中心】,关于申请试用高等教育出版社“云创”数字教材创作编写平台的通知,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13680
2024/9/11,【实践科】,关于公布第二十八、二十九期本科生科研训练计划项目结题成绩的通知,https://jwch.fzu.edu.cn/../info/1039/13677.htm
2024/9/11,【实践科】,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,https://jwch.fzu.edu.cn/../info/1039/13676.htm
2024/9/11,【教学运行】,关于2024年中秋节放假课程调整的通知,https://jwch.fzu.edu.cn/../info/1036/13675.htm
2024/9/9,【教学运行】,关于2024-2025学年第一学期重新学习选课、缴费的通知,https://jwch.fzu.edu.cn/../info/1036/13671.htm
2024/9/6,【综合科】,关于召开2024-2025学年秋季学期期初本科教育教学工作会议的通知,https://jwch.fzu.edu.cn/../info/1035/13666.htm
2024/9/6,【教学运行】,关于2024-2025-01体育理论教室安排（2023级）的通知,https://jwch.fzu.edu.cn/../info/1036/13665.htm
2024/9/5,【实践科】,关于做好2023-2024学年度本科毕业论文（设计）抽检工作的通知,https://jwch.fzu.edu.cn/../info/1039/13662.htm
2024/9/5,【质量办】,关于开展申请类督导听课工作的通知,https://jwch.fzu.edu.cn/../info/1040/13661.htm
2024/9/4,【教材中心】,关于2024级新生领取课程教材的通知,https://jwch.fzu.edu.cn/../info/1042/13658.htm
2024/9/4,【综合科】,关于2024-2025学年第一学期本科生学生证和火车票优惠区间更改的通知,https://jwch.fzu.edu.cn/../info/1035/13654.htm
2024/9/2,【综合科】,关于召开2024年宁夏大学、银川能源学院本科生赴福州大学访学见面交流会的通知,https://jwch.fzu.edu.cn/../info/1035/13651.htm
2024/9/2,【计划科】,关于公布2024-2025学年第一学期通选课取消开课名单的通知,https://jwch.fzu.edu.cn/../info/1038/13650.htm
2024/9/2,【教学运行】,关于做好2024年9月退役复学学生转专业的通知,https://jwch.fzu.edu.cn/../info/1036/13649.htm
2024/9/2,【综合科】,关于2024级本科生（含访学学生）学生证信息采集的通知,https://jwch.fzu.edu.cn/../info/1035/13648.htm
2024/8/30,【教研教改】,福州大学关于开展2024级“数智实验班”,招生工作的通知
2024/8/30,【综合科】,关于购买优惠火车票相关事宜的通知,https://jwch.fzu.edu.cn/../info/1035/13646.htm
2024/8/30,【教研教改】,福州大学关于开展2024级“嘉锡化学拔尖班”招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/13643.htm
2024/8/30,【教研教改】,福州大学关于开展2024级“数理综合班”招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/13642.htm
2024/8/30,【教研教改】,福州大学关于开展2024级“数理金融实验班”招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/13641.htm
2024/8/26,【教学运行】,关于2024-2025学年第一学期辅修专业补退选、缴费的通知,https://jwch.fzu.edu.cn/../info/1036/13639.htm
2024/8/25,【计划科】,关于2024-2025学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,https://jwch.fzu.edu.cn/../info/1038/13637.htm
2024/8/25,【计划科】,关于2024-2025学年第一学期通识教育选修课选课的通知,https://jwch.fzu.edu.cn/../info/1038/13636.htm
2024/8/25,【质量办】,关于开学第一周集中听课的通知,https://jwch.fzu.edu.cn/../info/1040/13635.htm
2024/8/25,【教学运行】,关于2024-2025学年第一学期学期选课补退选的通知,https://jwch.fzu.edu.cn/../info/1036/13634.htm
2024/8/2,【质量办】,关于开展2024年工程教育认证研讨培训的通知,https://jwch.fzu.edu.cn/../info/1040/13630.htm
2024/8/1,【教学运行】,福州大学关于印发《福州大学本科生转专业管理实施办法》的通知,https://jwch.fzu.edu.cn/../info/1036/13629.htm
2024/7/10,【实践科】,关于转发《关于举办2024年福建省大学生人工智能创意赛暨昇腾AI创新大赛的通知》的通知,https://jwch.fzu.edu.cn/../info/1039/13628.htm
2024/7/6,【实践科】,关于公布第十三届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,https://jwch.fzu.edu.cn/../info/1039/13617.htm
2024/7/6,【综合科】,教务处关于2024年暑假用印安排的通知,https://jwch.fzu.edu.cn/../info/1035/13626.htm
2024/7/6,【实践科】,关于公布福州大学2024届本科生优秀毕业设计（论文）名单的通知,https://jwch.fzu.edu.cn/../info/1039/13616.htm
2024/7/1,【教研教改】,福州大学关于公布第八届,远志创业实验班学生名单的通知
2024/7/1,【教学运行】,关于2024-2025学年第一学期辅修专业选课的通知,https://jwch.fzu.edu.cn/../info/1036/13601.htm
2024/6/29,【综合科】,友情提示,https://jwch.fzu.edu.cn/../info/1035/13592.htm
2024/6/26,【教学运行】,关于做好期末复习考试及下学期开学等工作的通知,https://jwch.fzu.edu.cn/../info/1036/13585.htm
2024/6/26,【实践科】,关于公布2024年第二十四届数学竞赛获奖名单的通知,https://jwch.fzu.edu.cn/../info/1039/13584.htm
2024/6/26,【实践科】,关于公布第十五届企业经营模拟沙盘对抗赛获奖名单的通知,https://jwch.fzu.edu.cn/../info/1039/13583.htm
2024/6/25,【教材中心】,关于召开数字教材建设研讨会的通知,https://jwch.fzu.edu.cn/../info/1042/13582.htm
2024/6/25,【计划科】,关于核对2024-2025学年第一学期通识教育选修课开课信息的有关通知,https://jwch.fzu.edu.cn/../info/1038/13581.htm
2024/6/21,【教研教改】,关于转发福建省教育厅办公室《关于举办2024年本科高校课程思政骨干教师、研究生导师培训班的通知》的通知,https://jwch.fzu.edu.cn/../info/1037/13580.htm
2024/6/21,【教研教改】,关于组织教师和学生参加人工智能赋能高等教育调查报告全国抽样调查问卷的通知,https://jwch.fzu.edu.cn/../info/1037/13579.htm
2024/6/21,【教学运行】,关于2023-2024学年第二学期《大学物理A（上）》、《大学物理B（上）》、《大学物理C》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13578.htm
2024/6/20,【教学运行】,关于2023-2024学年第二学期《大学英语（二）》、《大学英语（四）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13577.htm
2024/6/20,【教学运行】,关于2023-2024学年第二学期《英语专题》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13576.htm
2024/6/19,【教学运行】,关于2023-2024学年第二学期《工程制图A（下）》、《工程制图D》、《工程制图F》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13574.htm
2024/6/17,【教学运行】,关于2024-2025学年第一学期本科生学期选课的通知,https://jwch.fzu.edu.cn/../info/1036/13569.htm
2024/6/17,【教学运行】,关于2023-2024学年第二学期《大学英语（三）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13568.htm
2024/6/14,【实践科】,关于转发组织申报福建省高等教育学会2024年度高等教育科学研究实验室研究专项课题的通知,https://jwch.fzu.edu.cn/../info/1039/13565.htm
2024/6/12,【教学运行】,关于2023-2024学年第二学期《高等数学A（中）》、《高等数学B（下）》、《高等数学C（下）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13563.htm
2024/6/11,【实践科】,关于转发《关于举办第十四届海峡两岸信息服务创新大赛暨福建省第十八届计算机软件设计大赛的通知》的通知,https://jwch.fzu.edu.cn/../info/1039/13560.htm
2024/6/7,【实践科】,关于公布第三十期本科生科研训练计划立项项目的通知,https://jwch.fzu.edu.cn/../info/1039/13559.htm
2024/6/5,【教研教改】,关于组织申报福建省新文科教育研究中心第二批高校新文科建设优秀案例的通知,https://jwch.fzu.edu.cn/../info/1037/13555.htm
2024/6/5,【教研教改】,福州大学关于公布2022级数理综合班,专业分流学生名单及学科导师名单的通知
2024/6/5,【教研教改】,福州大学关于公布2022级数理金融,实验班学生主辅修专业及导师名单的通知
2024/6/5,【计划科】,关于2024-2025学年第一学期修读辅修专业学生名单的公示,https://jwch.fzu.edu.cn/../info/1038/13548.htm
2024/6/5,【质量办】,关于举办福州大学第五十三场“教学有道”,研讨活动的通知
2024/6/4,【教材中心】,关于做好2024-2025学年第一学期教材选用及征订工作的通知（更新）,https://jwch.fzu.edu.cn/../info/1042/13546.htm
2024/6/4,【教学运行】,关于2023-2024学年第二学期《马克思主义基本原理》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13545.htm
2024/6/4,【教学运行】,关于2023-2024学年第二学期《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13544.htm
2024/5/30,【教学通知】,福州大学关于推荐新一届教育部高等学校教学指导委员会专家的通知,https://jwch.fzu.edu.cn/../info/1012/13538.htm
2024/5/30,【教学运行】,关于2024年端午放假课程调整的通知,https://jwch.fzu.edu.cn/../info/1036/13536.htm
2024/5/29,【教学运行】,关于2023-2024学年第二学期《工程制图（C）》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13533.htm
2024/5/29,【教学运行】,关于2023-2024学年第二学期《思想道德与法治》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13532.htm
2024/5/27,【教学运行】,关于2023-2024学年第二学期《概率论与数理统计》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13531.htm
2024/5/24,【教学运行】,关于2023-2024学年第二学期《中国近现代史纲要》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13530.htm
2024/5/24,【教学运行】,关于2023-2024学年第二学期《线性代数》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13529.htm
2024/5/22,【实践科】,关于公布2024年本科生创新创业实践与素质拓展学分认定结果的通知,https://jwch.fzu.edu.cn/../info/1039/13525.htm
2024/5/22,【教研教改】,福州大学关于开展优秀拔尖创新人才培养案例征集的通知,https://jwch.fzu.edu.cn/../info/1037/13524.htm
2024/5/17,【教研教改】,福州大学关于开展第八届远志创业实验班招生工作的通知,https://jwch.fzu.edu.cn/../info/1037/13513.htm
2024/5/15,【教学运行】,关于2023-2024学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13501.htm
2024/5/15,【教学运行】,关于2025届预计毕业生核对电子注册学历信息的通知,https://jwch.fzu.edu.cn/../info/1036/13497.htm
2024/5/15,【教学运行】,关于2023-2024学年第二学期计算机语言类课程期末考试安排的通知,https://jwch.fzu.edu.cn/../info/1036/13491.htm
2024/5/11,【实践科】,关于公布第十届桥梁设计大赛获奖名单的通知,https://jwch.fzu.edu.cn/../info/1039/13481.htm
2024/5/10,【实践科】,关于做好国家、省级大学生创新创业训练计划项目结题工作的通知,https://jwch.fzu.edu.cn/../info/1039/13479.htm
2024/5/10,【实践科】,关于做好第二十八期、二十九期本科生科研训练计划项目结题工作的通知,https://jwch.fzu.edu.cn/../info/1039/13478.htm
2024/5/9,【教材中心】,关于举办福州大学第五十二场“教学有道”,研讨活动的通知
2024/5/8,【综合科】,关于2023-2024学年第二学期再次开放本科生学生证和火车票优惠卡补办及火车票优惠卡更改区间的通知,https://jwch.fzu.edu.cn/../info/1035/13475.htm
2024/5/7,【计划科】,2023-2024学年第二学期在校学生申请辅修专业的通知,https://jwch.fzu.edu.cn/../info/1038/13473.htm
2024/5/6,【计划科】,关于组织申报2024-2025学年第一学期通识教育选修课的通知,https://jwch.fzu.edu.cn/../info/1038/13472.htm
2024/4/30,【实践科】,关于公布第四届福州大学大学生先进成图技术与产品信息建模创新大赛获奖名单的通知,https://jwch.fzu.edu.cn/../info/1039/13470.htm
2024/4/30,【实践科】,福州大学关于公布第二十一届程序设计竞赛获奖名单的通知,https://jwch.fzu.edu.cn/../info/1039/13469.htm
2024/4/29,【教材中心】,关于开展2024年拟出版本科教材审核工作的通知,https://jwch.fzu.edu.cn/../info/1042/13417.htm
