date,temperature_2m_max,temperature_2m_min,precipitation_sum,sunshine_duration,temperature_2m_mean
2024-01-01 00:00:00+00:00,15.296,5.396,0.0,34956.35,10.321
2024-01-02 00:00:00+00:00,18.896,9.046,0.9,34982.11,14.008499
2024-01-03 00:00:00+00:00,19.296,4.396,0.0,34464.375,12.243916
2024-01-04 00:00:00+00:00,15.246,5.196,0.0,35040.164,10.429334
2024-01-05 00:00:00+00:00,20.696,8.646,0.0,35050.47,14.11058
2024-01-06 00:00:00+00:00,21.496,9.646,0.0,35039.758,14.498082
2024-01-07 00:00:00+00:00,16.946,8.596001,0.0,32426.914,12.085582
2024-01-08 00:00:00+00:00,16.346,10.396,6.499999,16752.852,12.935585
2024-01-09 00:00:00+00:00,17.046,9.646,1.4000001,2056.9182,13.293918
2024-01-10 00:00:00+00:00,21.046,8.096001,0.0,33021.316,12.931415
2024-01-11 00:00:00+00:00,15.746,5.296,0.0,28176.113,10.206418
2024-01-12 00:00:00+00:00,19.345999,8.146,0.0,35010.465,12.5251665
2024-01-13 00:00:00+00:00,21.296,7.046,0.0,35011.945,12.62725
2024-01-14 00:00:00+00:00,22.595999,8.396,0.0,35015.21,15.235583
2024-01-15 00:00:00+00:00,18.246,9.296,0.0,32003.895,12.9085
2024-01-16 00:00:00+00:00,17.146,6.596,0.0,32417.756,11.406417
2024-01-17 00:00:00+00:00,22.196,10.096001,0.0,35034.516,15.870998
2024-01-18 00:00:00+00:00,24.796,13.195999,0.0,35044.047,17.985582
2024-01-19 00:00:00+00:00,20.646,15.346001,0.2,19598.201,16.756418
2024-01-20 00:00:00+00:00,21.095999,12.296,0.6,19305.707,15.806416
2024-01-21 00:00:00+00:00,14.445999,9.396,0.3,0.0,12.0980835
2024-01-22 00:00:00+00:00,9.746,3.196,9.7,0.0,6.3126664
2024-01-23 00:00:00+00:00,10.496,-0.50399995,1.0,11183.848,4.5668335
2024-01-24 00:00:00+00:00,10.996,2.796,0.0,31532.047,6.4689164
2024-01-25 00:00:00+00:00,12.646,2.696,0.0,28952.328,7.843916
2024-01-26 00:00:00+00:00,13.746,5.796,0.0,35239.9,9.277249
2024-01-27 00:00:00+00:00,12.496,7.496,0.0,12169.461,9.393918
2024-01-28 00:00:00+00:00,14.695999,5.446,0.0,18510.346,9.698084
2024-01-29 00:00:00+00:00,17.095999,8.396,0.4,23169.26,12.875168
2024-01-30 00:00:00+00:00,20.196,11.445999,0.0,30234.219,14.675166
2024-01-31 00:00:00+00:00,23.996,12.546,0.0,25199.598,17.352251
2024-02-01 00:00:00+00:00,25.546,12.796,2.2999997,25726.254,19.08558
2024-02-02 00:00:00+00:00,14.346001,11.695999,0.1,0.0,12.729335
2024-02-03 00:00:00+00:00,20.396,12.296,0.0,22865.91,15.0772505
2024-02-04 00:00:00+00:00,16.196,8.896,4.7000003,0.0,13.016835
2024-02-05 00:00:00+00:00,17.146,9.546,0.0,26496.588,12.491834
2024-02-06 00:00:00+00:00,13.096001,8.346001,1.5,2646.6367,10.271001
2024-02-07 00:00:00+00:00,10.445999,6.496,26.399998,0.0,8.45225
2024-02-08 00:00:00+00:00,9.146,7.246,1.3000001,0.0,8.183499
2024-02-09 00:00:00+00:00,13.096001,4.296,0.2,976.9031,8.6501665
2024-02-10 00:00:00+00:00,16.096,4.646,0.0,36755.668,9.854333
2024-02-11 00:00:00+00:00,19.095999,6.096,0.0,37464.746,11.560584
2024-02-12 00:00:00+00:00,18.396,7.196,0.0,37538.465,12.446
2024-02-13 00:00:00+00:00,21.246,8.945999,0.0,37476.4,14.520996
2024-02-14 00:00:00+00:00,24.446,12.596001,0.0,37532.12,17.587664
2024-02-15 00:00:00+00:00,25.646,10.396,3.0,36367.49,17.129332
2024-02-16 00:00:00+00:00,14.396,7.746,0.7,14578.125,10.410583
2024-02-17 00:00:00+00:00,21.196,9.746,0.0,37948.46,14.073083
2024-02-18 00:00:00+00:00,27.496,12.695999,0.0,34008.875,19.071
2024-02-19 00:00:00+00:00,28.296,15.796,0.0,26449.137,21.071001
2024-02-20 00:00:00+00:00,29.595999,17.095999,0.0,33173.71,21.108498
2024-02-21 00:00:00+00:00,31.146,13.945999,1.5,34461.734,22.246
2024-02-22 00:00:00+00:00,14.896,10.396,1.1000001,73.725815,12.468917
2024-02-23 00:00:00+00:00,13.496,9.846001,1.2,0.0,11.135585
2024-02-24 00:00:00+00:00,14.695999,10.046,3.2,576.5529,11.981418
2024-02-25 00:00:00+00:00,12.746,8.346001,3.3999999,649.8905,10.435584
2024-02-26 00:00:00+00:00,10.396,8.046,4.9999995,0.0,8.8897505
2024-02-27 00:00:00+00:00,13.746,8.796,0.4,3567.206,10.571001
2024-02-28 00:00:00+00:00,16.296,10.246,0.3,19170.275,12.408501
2024-02-29 00:00:00+00:00,17.246,9.346001,19.900002,5834.4243,12.366833
2024-03-01 00:00:00+00:00,13.096001,5.196,1.1,694.1594,9.10225
2024-03-02 00:00:00+00:00,12.445999,4.196,0.0,29565.572,8.558499
2024-03-03 00:00:00+00:00,14.896,7.196,0.4,38590.67,11.062667
2024-03-04 00:00:00+00:00,23.196,12.346001,0.1,35995.023,17.035582
2024-03-05 00:00:00+00:00,28.946,14.046,6.1,30759.041,21.550165
2024-03-06 00:00:00+00:00,16.896,11.046,5.5,5424.862,13.93975
2024-03-07 00:00:00+00:00,17.496,8.096001,0.0,27282.623,11.908501
2024-03-08 00:00:00+00:00,17.595999,6.746,0.1,38756.227,11.858502
2024-03-09 00:00:00+00:00,11.496,7.796,2.6999998,6369.2188,9.62725
2024-03-10 00:00:00+00:00,16.896,10.346001,2.9000003,36464.773,13.202248
2024-03-11 00:00:00+00:00,15.396,8.246,13.200001,100.519264,12.0668335
2024-03-12 00:00:00+00:00,21.595999,10.246,0.0,38883.17,15.518917
2024-03-13 00:00:00+00:00,16.896,10.896,0.0,13905.697,13.298083
2024-03-14 00:00:00+00:00,18.146,12.695999,12.7,3852.2754,14.939748
2024-03-15 00:00:00+00:00,19.446,14.096001,4.5999994,2293.165,15.973081
2024-03-16 00:00:00+00:00,21.446,15.195999,2.4999998,15812.557,17.871
2024-03-17 00:00:00+00:00,26.345999,13.195999,1.8000001,32554.492,18.379332
2024-03-18 00:00:00+00:00,17.246,11.096001,0.2,27112.955,13.523084
2024-03-19 00:00:00+00:00,19.746,9.046,0.0,29498.5,13.506416
2024-03-20 00:00:00+00:00,18.095999,9.096001,0.0,40414.41,13.2439165
2024-03-21 00:00:00+00:00,19.296,11.546,0.0,31824.354,15.225165
2024-03-22 00:00:00+00:00,26.246,14.445999,0.0,25886.852,19.406414
2024-03-23 00:00:00+00:00,27.746,16.646,0.5,20054.043,20.881414
2024-03-24 00:00:00+00:00,32.146,18.046,0.0,39964.69,24.439749
2024-03-25 00:00:00+00:00,33.596,18.796,0.0,40839.91,25.487663
2024-03-26 00:00:00+00:00,23.946,14.046,0.0,37220.797,17.558498
2024-03-27 00:00:00+00:00,20.246,13.695999,0.0,39316.016,16.62933
2024-03-28 00:00:00+00:00,28.746,16.046,9.400001,35540.99,21.254333
2024-03-29 00:00:00+00:00,27.796,17.446,3.6000001,38185.426,21.043917
2024-03-30 00:00:00+00:00,27.146,18.845999,2.1,28229.285,22.393915
2024-03-31 00:00:00+00:00,27.095999,18.296,14.0,16393.898,22.83767
2024-04-01 00:00:00+00:00,24.546,18.296,0.1,30391.85,21.018911
2024-04-02 00:00:00+00:00,31.546,20.996,0.0,39690.6,25.693914
2024-04-03 00:00:00+00:00,34.546,19.196,13.199999,33377.836,26.454336
2024-04-04 00:00:00+00:00,19.996,15.246,16.099998,0.0,17.356419
2024-04-05 00:00:00+00:00,17.396,13.996,8.8,1018.71436,15.491834
2024-04-06 00:00:00+00:00,21.345999,15.796,20.6,11733.13,17.441833
2024-04-07 00:00:00+00:00,20.696,16.246,3.2,1902.3525,17.737665
2024-04-08 00:00:00+00:00,24.496,16.196,3.5,19906.379,19.652252
2024-04-09 00:00:00+00:00,20.095999,12.546,0.2,11048.782,17.010582
2024-04-10 00:00:00+00:00,22.095999,17.146,0.0,32266.648,19.106415
2024-04-11 00:00:00+00:00,27.146,17.146,0.0,37843.58,20.983496
2024-04-12 00:00:00+00:00,27.496,20.396,1.3000001,25200.0,23.125168
2024-04-13 00:00:00+00:00,25.095999,19.396,0.1,4882.959,21.502249
2024-04-14 00:00:00+00:00,31.246,19.896,0.1,27977.967,24.437668
2024-04-15 00:00:00+00:00,32.446,21.595999,1.8000001,38820.832,26.01267
2024-04-16 00:00:00+00:00,28.996,22.796,1.2,33161.66,25.045996
2024-04-17 00:00:00+00:00,28.696,20.396,12.5,19435.955,23.91475
2024-04-18 00:00:00+00:00,23.996,16.396,2.0,25118.502,19.96058
2024-04-19 00:00:00+00:00,24.095999,17.845999,1.5,29923.676,20.427248
2024-04-20 00:00:00+00:00,30.946,21.496,4.4999995,33093.12,24.893911
2024-04-21 00:00:00+00:00,29.446,20.146,26.0,25970.965,24.104332
2024-04-22 00:00:00+00:00,26.946,20.946,11.200002,11798.818,23.100168
2024-04-23 00:00:00+00:00,26.095999,20.696,9.2,15469.815,22.833498
2024-04-24 00:00:00+00:00,23.095999,17.996,3.7000003,20747.47,20.277248
2024-04-25 00:00:00+00:00,22.095999,18.595999,7.8999996,6858.4185,19.948084
2024-04-26 00:00:00+00:00,26.896,20.946,2.1999998,16288.386,23.098078
2024-04-27 00:00:00+00:00,27.296,21.046,0.70000005,10941.757,23.170998
2024-04-28 00:00:00+00:00,28.696,19.446,1.7,26601.826,23.793917
2024-04-29 00:00:00+00:00,32.596,22.696,5.3999996,36671.1,26.66475
2024-04-30 00:00:00+00:00,26.845999,19.546,24.400002,851.72266,23.443914
2024-05-01 00:00:00+00:00,21.796,17.496,4.5,465.6745,18.970999
2024-05-02 00:00:00+00:00,23.396,15.646,0.1,23260.777,18.61058
2024-05-03 00:00:00+00:00,24.146,18.496,1.5,39600.0,20.541832
2024-05-04 00:00:00+00:00,23.345999,19.796,11.099999,7769.9077,21.379332
2024-05-05 00:00:00+00:00,30.345999,19.696,1.9000002,35653.914,24.579336
2024-05-06 00:00:00+00:00,30.396,19.845999,0.0,39600.0,24.152246
2024-05-07 00:00:00+00:00,26.095999,20.496,0.0,14214.013,23.200165
2024-05-08 00:00:00+00:00,27.946,17.696,0.6,40126.16,22.462662
2024-05-09 00:00:00+00:00,24.296,15.296,0.0,36000.0,19.885584
2024-05-10 00:00:00+00:00,26.095999,19.746,0.2,39600.0,22.61683
2024-05-11 00:00:00+00:00,31.546,21.845999,0.5,26452.28,25.250166
2024-05-12 00:00:00+00:00,28.845999,17.196,32.699993,8926.934,22.6085
2024-05-13 00:00:00+00:00,22.996,12.546,0.9,33556.062,17.900167
2024-05-14 00:00:00+00:00,25.095999,14.246,0.0,43387.46,19.61683
2024-05-15 00:00:00+00:00,27.595999,16.496,0.0,43200.0,22.191833
2024-05-16 00:00:00+00:00,24.396,12.996,0.0,43375.934,19.106413
2024-05-17 00:00:00+00:00,28.146,16.796,0.0,43243.82,22.081413
2024-05-18 00:00:00+00:00,29.095999,17.696,0.0,41139.125,23.698082
2024-05-19 00:00:00+00:00,29.595999,20.845999,5.7,27012.207,24.22933
2024-05-20 00:00:00+00:00,24.696,21.146,20.500002,1498.1793,22.65225
2024-05-21 00:00:00+00:00,23.496,20.746,68.200005,0.0,22.23142
2024-05-22 00:00:00+00:00,24.595999,20.496,17.099998,0.0,22.025167
2024-05-23 00:00:00+00:00,23.546,21.196,16.800003,0.0,22.275167
2024-05-24 00:00:00+00:00,29.296,22.696,0.3,16320.16,24.93975
2024-05-25 00:00:00+00:00,28.446,22.696,9.8,18282.361,24.837664
2024-05-26 00:00:00+00:00,31.595999,23.446,2.4,38166.44,26.527246
2024-05-27 00:00:00+00:00,30.646,23.345999,7.799999,20336.072,26.408499
2024-05-28 00:00:00+00:00,25.546,16.946,0.3,39141.363,21.737669
2024-05-29 00:00:00+00:00,25.595999,18.246,0.0,40333.48,21.554335
2024-05-30 00:00:00+00:00,27.496,21.796,2.4,25987.46,24.568916
2024-05-31 00:00:00+00:00,32.896,22.746,19.0,34689.008,26.99392
2024-06-01 00:00:00+00:00,23.996,20.296,44.600002,0.0,21.856415
2024-06-02 00:00:00+00:00,21.546,17.046,12.5,3805.457,19.656414
2024-06-03 00:00:00+00:00,23.296,15.396,0.0,9317.549,20.441832
2024-06-04 00:00:00+00:00,26.446,19.595999,1.2,15866.601,21.74183
2024-06-05 00:00:00+00:00,22.896,20.196,9.8,0.0,21.510582
2024-06-06 00:00:00+00:00,24.396,20.746,0.4,5113.9062,22.35433
2024-06-07 00:00:00+00:00,27.396,21.146,0.1,26677.3,23.856413
2024-06-08 00:00:00+00:00,30.296,22.946,16.800001,32400.0,25.63558
2024-06-09 00:00:00+00:00,29.595999,23.896,25.5,14263.857,25.493917
2024-06-10 00:00:00+00:00,30.646,24.696,8.7,10800.0,26.97933
2024-06-11 00:00:00+00:00,31.946,24.496,6.9999995,23256.617,27.531416
2024-06-12 00:00:00+00:00,32.596,24.546,21.1,21577.547,27.789747
2024-06-13 00:00:00+00:00,29.595999,25.196,12.9,9447.491,27.171
2024-06-14 00:00:00+00:00,31.296,24.946,18.900002,18294.21,27.29183
2024-06-15 00:00:00+00:00,28.896,25.046,25.300001,0.0,26.941833
2024-06-16 00:00:00+00:00,30.345999,24.946,36.6,10800.0,26.52933
2024-06-17 00:00:00+00:00,31.946,24.146,10.299999,11723.934,27.18558
2024-06-18 00:00:00+00:00,26.396,23.896,11.300001,0.0,24.77308
2024-06-19 00:00:00+00:00,31.196,24.896,2.4,23941.027,27.76683
2024-06-20 00:00:00+00:00,35.546,25.496,0.5,40948.72,29.704332
2024-06-21 00:00:00+00:00,35.946003,25.845999,0.0,43699.562,30.064749
2024-06-22 00:00:00+00:00,36.046,26.146,0.0,41814.797,30.548086
2024-06-23 00:00:00+00:00,35.946003,26.196,0.4,43006.344,30.325163
2024-06-24 00:00:00+00:00,35.246002,25.595999,6.6,36750.684,29.941832
2024-06-25 00:00:00+00:00,34.796,25.396,3.5,34069.027,28.891829
2024-06-26 00:00:00+00:00,32.646,26.095999,1.5000001,30152.947,28.668915
2024-06-27 00:00:00+00:00,34.696003,25.646,2.2,36280.367,29.520998
2024-06-28 00:00:00+00:00,32.746002,26.246,0.70000005,39008.957,29.233498
2024-06-29 00:00:00+00:00,32.846,25.845999,1.9000001,36000.0,29.102251
2024-06-30 00:00:00+00:00,34.296,26.095999,1.1,42654.24,29.860582
